Départements,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Ain,7204.24266813718,7662.32050998305,7977.45151870621,8426,8577,8786,9330,9008,9465,9673,9983,10175,10612,10634
Aisne,9376.99695316598,10188.5729657358,11026.4907702392,11421,12148,12580,13181,12901,12936,13096,12880,13562,12273,12071
Allier,8567.16148032518,9128.676378054,9472.69567096409,9683,10054,10266,10665,10614,10853,11225,11292,11511,11654,11516
Alpes-de-Haute-Provence,2895,3108,3025,3151,3310,3514.90306241781,3375.14533231645,3964,3426,3233,3097,3916,3811,4215
Hautes-Alpes,2511,2703,2792,2928,2772,2766,3175,3342,3157,2869,2896,3016,3226,3125
Alpes-Maritimes,20202,21965,25506,23859,24314,23981,23829,24072,23881,24135,24190,24581,25734,27144
Ardèche,7413,7520,8292,8685,8919,9044,9337,9626,10296,10307,10246,10115,10085,10434
Ardennes,5386,6096,6586,7108,7034,7333,7302,7419,7952,8080,8329,8312,8337,8447
Ariège,4770,4727,4790,4874,4834,4109,4112,4441,4468,4796,4657,4715,4687,4583
Aube,5140,5473,5579,5862,5942,6754,6483,6720,7082,6956,6828,6927,6967,6893
Aude,6535.14608987219,6702.56150478558,7268.52162930914,7329,7286,7248,7254,7545,7367,7246,8001,7987,7666,8640
Aveyron,8054,8401,8651,9352,9517,11076,11484.7269682921,11500,11268,11239,10841,10546,10529,9854
Bouches-du-Rhône,32675,36497,32888,32968,34029,34079,33320,33038,35983,36173,36924,37850,41005,41752
Calvados,13287,13798,14336,14698,15140,15576.6442393188,15845.1984790517,15266,15012,14900,13342,14324,15007,15295
Cantal,4088,4550,4621,4998,5087,4400,4518,5158,5073,5141,5137,5102,5175,5226
Charente,8523.09934353623,8488.04268375758,8686.49696369497,8565,8710,8710,8583,8378,8686,8592,8919,8963,9201,9157
Charente-Maritime,11346.4071342297,12027.9886270107,12281.057968471,12781.9496769372,12997.0247049286,13611,14032.9007741565,13207,13673,14100,14328,14425,14888,14767
Cher,5920.46314180292,6031.9593144246,6144.35164418181,6377,6767,6862,6855,7103,7415,7567,7190,7233,7303,7365
Corrèze,5989,6256,6690,6787,6918,7169,7343,7561,7034,7138,7708,7412,6726,6826
Côte-d'Or,9071,9385,9640,9814,9993,10078,10265,10289,10644,10778,11094,11129,11392,11206
Côtes-d'Armor,14153,13593,13469,13915,13965,14434,14754,15129,14980,14705,15517,15727,15643,15376
Creuse,4419,4415,4466,4629,4798,4859,5029,5110,5332,5436,5351,5351,5205,5123
Dordogne,9953.5125968002,10383.4120277572,10991.8911847696,11174,11803,12288,12015,11646,12193,12869,13093,13096,13161,13357
Doubs,7677,8521,9101,9449,9635,9791,9944,10247,10462,10908,11654,11247,11436,11070
Drôme,6660.98791704137,8009.94837195349,8608.67075600701,9265,9849,10481,10479,11121,11563,12014,12498,12702,13077,13370
Eure,6221.79200032458,6591.96708116083,6782.46687284489,6998,7208,7225,7326,7489,7436,7910,8286,8482,9043,9147
Eure-et-Loir,5787.85537190083,6686.93181818182,6648.17768595041,6466,7004,7456,7160,7493,7352,7717,7090,7085,7486,7534
Finistère,17436,18061,19182,19426,19542,19084,18794.0889087782,18489,18978,20830,24251,24794,22847,22808
Gard,13784.2288881328,14291.5714333032,14310.5212259507,14276.4746627091,14294.3019653468,15099,15131,15293,15575,15402,15427,15585,14626,14820
Haute-Garonne,18275,19724,20790,21966,22954,24099,24820,25652,23701,26220,27002,27537,28091,28343
Gers,5841.05017606205,6215.61755705304,6305.46509642745,6482,6579,7004,6798,6861,6781,6639,6716,6765,6485,6565
Gironde,23746.5537309995,25174.2725342993,26111.7307525995,27165.6087952377,29353.4831651998,30471,30939.3950737476,32828,33258,33802,32708,34446,34784,35304
Hérault,23306.8096878125,26585.7953560715,25451.6013776247,26014,26806,28241,29134,29449,30680,31033,31135,31671,32149,32687
Ille-et-Vilaine,14044,15016,15501,15811,15633,16617,17026,17652,18485,19101,19417,20131,19981,20599
Indre,5043,5218,5414,5537,5644,5725,5746,5716,5499,5261,5239,5207,5088,5007
Indre-et-Loire,8656,9184,9530,9764,9813,9797,10196,10535,10950,10659,10552,11975,12310,12616
Isère,15672.9596414221,16745.7614458712,17765.6702366027,18749.1321722039,19578.6482695581,20057.7078284446,20481.9912536061,20834,23845,24277,25083,25618,26597,27080
Jura,4424.99183701801,4536.60745581654,4568.66091829276,4714,4825,4774,5003,5119,5281,5404,5477,5578,5522,5476
Landes,7062,7451,7577,8250,8608,9000,9443,9699,9702,10016,9957,10180,10280,10568
Loir-et-Cher,6553,7451,7366,7886,8130,8104,8292,8299,8641,8717,8707,8883,9550,9540
Loire,14837.2728728254,15628.0003876841,16579.1396975545,17284,17621,17912,18010,18438,18686,19326,20543,21198,21722,22249
Haute-Loire,6012.40925107422,6045.2040390095,6282.71912258049,6426.5505313709,6282.84553421652,6550.80046585604,6204,6559,6548,7081,6931,7280,7216,7363
Loire-Atlantique,16194.6025679302,16789.3906093848,18484.1455933902,18646,19446,20330,20324,21698,20837,21437,22343,22595,23248,23210
Loiret,9964.87091062863,10650.4565160074,11131.8793004211,11787.1509998775,12440.2162643725,12690.8751879462,12871.0740714428,13095,13257,11460,11097,10966,11333,11522
Lot,5425,5284,5353,5574,5616,5642,5963,6137,6291,6274,6280,6678,6748,6560
Lot-et-Garonne,6962,7482,7905,8078,8320,8506,8629,8680,8492,8423,8142,8156,8111,8044
Lozère,1971,1978,1919,1989,1990,2255,2452,2587,2691,2675,2850,2475,2547,2572
Maine-et-Loire,10712.4290876892,11270.5846096416,11792.6739790243,12116,12169,12094,12218,12523,12802,13014,15072,14913,13126,13144
Manche,9483,9704,9890,9931,9775,9835,10470,9832,10039,9596,9578,8399,8497,8554
Marne,7702,7833,7749,8008,8485,8443,8034,8209,7723,7802,7805,8095,8181,7550
Haute-Marne,3495,3743,3871,3885,3719,3663,3618,3565,3767,3787,3736,3593,3650,3766
Mayenne,6586.31210194869,6358.95238285594,7141.26488866573,7416,7252,6328,6249.47427518616,6034,6111,6734,6237,6247,6452,6486
Meurthe-et-Moselle,13189,14222,14911,14637,14452,14322,14109,14491,14528,14419,14099,14202,14180,14225
Meuse,3043,3277,3269,3240,3210,3362,3434,3747,3780,3736,3937,3815,3921,3895
Morbihan,12826,13397,13693,14293,14489,14981,15443,15793,10096,14843,14820,15698,15826,16112
Moselle,14212,15356,16203,17116,17504,18081,18125,18656,18596,19138,19252,19381,19229,19346
Nièvre,5485.4863705298,6615.86203296969,6918.87113572054,6856,6555,6404,6592,6566,6853,6616,6551,6596,6694,6782
Nord,37509.3225534157,39486.6893831159,41273.3953009044,43040.9960068155,44403,44145,45080,45363,42843,43482,45691,48358,48174,49371
Oise,7243.40296461976,7499.83628273805,7525.15142776192,8244.85064333632,8868.11191148422,9612,9760.64507380972,9247,9336,9674,9628,9808,10548,10580
Orne,6560.39016242938,7102.15555263487,7390.9263303566,7525,7797,7911,7996,8057,7991,7971,8317,8343,8743,8878
