Départements,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Ain,953,887,901,1000,963,1084,1070,1129,1243,1255,1318,1450,1608,1654
Aisne,1648,1619,1608,1708,1703,1768,1841,1880,2009,1939,2026,2184,2197,2296
Allier,1068,1036,1006,1007,1015,1015,1018,1045,1043,1028,1057,1071,1068,1367
Alpes de Haute-Provence,280,275,289,301,306,329,355,368,315,420,450,580,556,545
Hautes-Alpes,115,128,134,116,141,175,198,209,211,248,260,473,297,309
Alpes-Maritimes,1373,1332,1551,1426,1412,1429,1568,1580,1507,1669,1669,1909,2024,2143
Ardèche,501,548,568,582,583,636,548,656,621,635,661,660,654,687
Ardennes,866,907,857,938,1027,861,934,989,1039,1080,1052,1161,1114,1153
Ariège,381,381,373,371,382,384,381,357,394,405,512,427,492,491
Aube,950,932,914,876,909,876,947,1012,1038,1044,1100,1150,1237,1226
Aude,875,871,896,922,925,956,978,935,977,1135,1181,1272,1416,1516
Aveyron,577,604,637,628,694,641,663,665,669,660,681,701,764,816
Bouches-du-Rhône,3425,3452.02567594263,3235,3205,3199,3269,3306,3398,3510,3550,3705,4103,4470,5049
Calvados,2256,2233,2184,2157,2212,2212,2227,2232,2246,2246,2388,2496,2705,2733
Cantal,294,265,263,242,228,237,225,214,232,246,276,292,322,323
Charente,788,830,790,828,846,886,925,886,935,1033,1044,1062,1135,1231
Charente-Maritime,1247,1218,1168,1188,1134,1195,1229,1364,1448,1524,1661,1886,1566,1977
Cher,997,975,999,1003,989,1012,1026,1002,908,869,880,889,956,1026
Corrèze,435,461,428,430,442,485,498,479,519,470,440,484,522,561
Côte-d'Or,1464,1445,1458,1457,1479,1496,1486,1420,1395,1411,1453,1468,1548,1572
Côtes-d'Armor,1228,1358,1479,1527,1477,1416,1577,1479,1596,1727,1829,1955,1663,1727
Creuse,324,321,306,296,305,315,331,389,381,364,394,420,460,469
Dordogne,972,981,948,1066,930,921,926,985,1047,1078,1177,1285,1356,1494
Doubs,1064,1025,1044,1015,1091,1051,1117,1134,1192,1159,1138,1277,1322,1536
Drôme,895,913,896,900,1014,1501,1233,1078,1232,1216,1130,1366,1796,2322
Eure,1446,1524,1534,1475,1494,1376,1495,1680,1762,1762,1807,1979,2190,2335
Eure-et-loir,1075,1156,1161,1136,1183,1098,1098,1183,1194,1289,1207,1292,1320,1329
Finistère,2141,2273,2308,2388,2388,2381,2338,2386,2432,2506,2584,2687,2812,2973
Gard,1619,1616,1777,1825,1836,1836,1804,1804,2047,2047,2280,2463,2646,2837
Haute-Garonne,2061,2024,2069,2150,2175,2217,2337,2368,2438,2658,2758,2897,2949,3584
Gers,358,358,347,371,390,387,414,429,465,528,541,605,673,753
Gironde,3605,4015,3464,3550,3534,3559,3569,3688,3679,3693,4196,4125,4673,5004
Hérault,2208,2149,2032,2257,2040,2040,2230,2417,2347,2501,2639,2825,3055,2277
Ille-et-Vilaine,2386,2340,2508,2677,2798,2952,2966,2894,2826,2860,2976,3222,3404,3550
Indre,515,511,506,464,483,489,466,471,509,512,522,538,609,639
Indre-et-Loire,1235,1271,1276,1302,1296,1353,1325,1273,1238,1206,1194,1373,1686,1663
Isère,2354,2139,2578,2657,2809,2926,2621,2688,2701,2593,2758,2998,3264,3316
Jura,643,627,608,652,700,768,762,818,787,766,780,798,874,924
Landes,1035,1043,1049,1051,1053,1117,1050,1098,1112,1165,1264,1335,1382,1476
Loir-et-Cher,643,619,608,638,666,711,754,761,802,895,877,892,933,1002
Loire,1795,1810,1863,1909,1974,2061,2045,2026,2043,2007,2014,2126,2273,2538
Haute-Loire,376,372,377,423,443,452,525,558,607,663,692,698,768,768
Loire-Atlantique,2383,2349,2387,2247,2227,2171,2299,2401,2425,2501,2531,2789,3027,3064
Loiret,1410,1382,1392,1413,1379,1388,1495,1520,1331,1318,1377,1653,1820,1757
Lot,242,254,252,232,301,302,306,311,353,382,381,364,387,360
Lot-et-Garonne,758,784,816,835,829,881,882,918,903,963,968,996,1024,1063
Lozère,95,98.9650151867563,104,97,97,93,88,105,104,125,127,153,157,194
Maine-et-Loire,1621,1675,1702,1743,1845,1857,1693,1908,2013,2046,2159,2351,2486,2645
Manche,1146,1120,1174,1147,1236,1291,1358,1433,1466,1400,1569,1273,1604,1789
Marne,1384,1371,1381,1371,1375,1479,1446,1435,1477,1559,1655,1562,1568,1636
Haute-Marne,567,567,573,574,596,632,600,608,661,617,640,651,716,674
Mayenne,627.064188662276,677,664,692,703,705,741,754,832,946,980,974,1010,960
Meurthe-et-Moselle,1788,1661,1625,1663,1705,1768,1735,1737,1828,1911,2010,2140,2281,2517
Meuse,655,658,662,585,622,604,594,603,603,651,671,715,761,804
Morbihan,1224,1262,1277,1203,1233,1224,1313,1426,1419,1322,1431,1488,1719,1697
Moselle,1959,1767,1918,1963,1866,1935,2086,2024,2167,2276,2377,2428,2639,2525
Nièvre,686,717,733,738,762,759,839,865,865,833,907,943,942,964
Nord,10821,10888,10974,11261,11407,11651,11917,12632,12156,11878,11785,11234,11059,11154
Oise,1937,1957,1988,1884,1923,1840,1800,1783,1809,1849,1792,1862,2055,2188
Orne,887,926,962,956,945,960,993,1046,1003,1057,1044,1057,1057,1197
Pas-de-Calais,5601,5564,5511,5696,5688,5739,5797,5949,6057,6290,6460,6882,7346,7692
Puy-de-Dôme,1065,1038,997,1011,1040,989,1033,1085,1147,1172,1133,1225,1361,1452
Pyrénées-Atlantiques,1326,1370,1400,1397,1461,1507,1547,1516,1642,1705,1718,1736,1814,1952
Hautes-Pyrénées,404,401,541,452,480,488,478,496,474,474,611,609,705,760
Pyrénées-Orientales,879,873,898,889,872,829,871,871,1058,1227,1085,1267,1310,1417
Bas-Rhin,2481,2596,2589,2777,2592,2908,2984,2878,2919,2864,2963,2874,3130,3401
Haut-Rhin,1413,1515,1541,1647,1725,1697,1600,1638,1715,1715,1817,1933,2121,2355
Rhône,2979,3042,3163,3345,3257,3266,3124,3137,2752,3037,3184,3420,3903,4157
Haute-Saône,644,650,623,618,647,656,669,696,727,757,725,786,865,907
Saône-et-Loire,1140,1197,1249,1306,1159,1124,1151,1231,1195,1228,1308,1320,1408,1461
Sarthe,1267,1210,1179,1170,1279,1263,1320,1352,1406,1467,1551,1626,1634,1675
Savoie,979,943,1013,966,976,992,1057,1000,1019,1007,1015,948,1018,1033
Haute-Savoie,985,1047,1041,1025,949,937,917,955,1023,1017,1030,1175,1283,1412
Seine-Maritime,3645,3775,3781,3859,3894,3918,3869,4048,4049,3922,4081,4281,4524,4652
Seine-et-Marne,2790,2873,2917,2873,2799,2852,2864,2850,2943,3050,3192,3283,3404,3384
Yvelines,2220,2204,2179,2111,2128,2105,2171,2235,2300,2265,2172,2179,2193,2556
Deux-Sèvres,774,779,807,801,902,741,771,797,846,934,1045,1150,1092,1098
Somme,1652,1696,1680,1743,1719,1676,1649,1858,1818,1827,1809,1970,2001,1938
Tarn,867,929,911,885,883,1012,904,936,893,968,995,1149,1166,1252
Tarn-et-Garonne,470,477,420,470,558,539,613,673,696,732,729,822,782,845
Var,1157,1170,1197,1159,1194,1200,1285,1302,1286,1361,1512,1752,1858,1980
Vaucluse,1158,1155,1283,1274,1282,1178,1176,1137,1244,1293,1399,1482,1485,1530
Vendée,845,868,894,925,963,1010,1034,1055,1055,1140,1183,1276,1395,1424
Vienne,1099,1035,1003,1052,1030,1061,1174,1223,1101,1171,1345,1522,1642,1557
Haute-Vienne,862,743,804,795,822,767,789,766,749,724,793,832,897,932
Vosges,642,718,772,917,899,969,1023,1038,1034,941,1072,1325,1104,1402
Yonne,1161,1141,1086,1108,1119,1190,1264,1310,1340,1365,1354,1432,1533,1577
Territoire de Belfort,251,248.968837975809,295,304,280,294,291,306,308,334,246,352,376,356
Essonne,2647,2663,2678,2519,2618,2619,2638,2737,2721,2666,2727,2809,3071,2681
Hauts-de-Seine,2963,3105,3081,2885,2626,2566,2688,2685,2673,2668,2611,2643,2881,3279
Seine-Saint-Denis,4202,4259,4350,4431,4603,4785,4818,4785,4597,4666,4963,5385,5565,6051
Val-de-Marne,2124,2128,2119,2191,2170,2237,2265,2285,2494,2726,2548,2590,2837,3068
