Département,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Ain,94,411,806,1112,1423,1708,1886,2021,2252,2440,2593,2742,2933,2991
Aisne,112,554,1106,1234,1378,1412,1581,1707,2054,2088,2214,2435,2516,2739
Allier,62,311,515,678,858,1031,1254,1409,1568,1692,1782,1794,1869,2002
Alpes-de-Haute-Provence,20,69,222,334,423,506,623,484,556,634,698,750,815,890
Hautes-Alpes,2,77,137,183,226,331,407,505,482,533,540,554,600,536
Alpes-Maritimes,43,334,1057,2093,2911,3250,3617,3821,3244,4784,4138,6870,7329,7924
Ardèche,122,358,577,805,989,1180,1280,1378,1504,1520,1599,1552,1597,1672
Ardennes,25,101,291,421,741,676,703,941,1032,1067,1180,1241,1317,1324
Ariège,21,87,228,369,388,433,431,577,619,683,720,649,708,707
Aube,25,158,304,452,836,922,998,1069,1143,1195,1299,1340,1420,1474
Aude,65,299,654,1292,1711,2081,2312,2524,2799,2991,3431,3756,3722,3874
Aveyron,61,313,631,1028,1004,1196,1325,1422,1569,1620,1665,1681,1747,1829
Bouches-du-Rhône,39,439,1263,1880,3077,3677,5434,6149,6301,6786,7318,7686,8278,8749
Calvados,141,386,651,810,1029,1313,1453,1689,1900,2035,2131,2288,2516,2622
Cantal,7,84,145,231,293,376,417,473,446,450,729,798,846,875
Charente,90,564,921,1205,1420,1634,1661,1750,1847,1904,1956,1995,2052,2095
Charente-Maritime,34,380,888,1471,1869,2295,2494,2933,2722,3000,3050,3271,3662,3667
Cher,38,385,723,890,1138,1287,1559,1662,1925,2061,2044,2200,2249,2401
Corrèze,69,122,223,423,564,678,756,747,754,708,747,773,751,713
Côte-d'Or,78,386,680,1130,1689,2201,2514,2636,3466,3320,2345,2765,2886,2898
Côtes-d'Armor,89,534,983,1449,1692,1878,1967,2058,2110,2276,2343,2444,2574,2736
Creuse,37,142,190,291,400,467,506,532,419,616,635,687,735,743
Dordogne,164,500,857,1151,1359,1532,1514,1530,1556,1573,1588,1609,1717,1731
Doubs,104,658,1162,1557,2102,2481,2612,3090,3409,3633,3755,4024,4269,4317
Drôme,468,339,1060,1697,2322,2812,2800,3143,3196,3221,3193,3331,3522,3661
Eure,21,667,788,1155,1488,1859,2145,2470,2841,2979,3070,3131,3318,3307
Eure-et-Loir,65,366,584,876,994,1163,1205,1316,1459,1529,1755,1768,1950,2011
Finistère,74,486,1453,2622,2694,3560,3981,4142,4941,5424,5587,5285,5574,6344
Gard,78,422,987,1272,1305,1785,1884,2079,2405,2541,2710,2855,3067,3085
Haute-Garonne,82,683,1593,2257,3335,3816,4251,4741,4940,5600,5772,6153,6528,6993
Gers,80,232,321,426,511,590,744,840,945,1038,1151,1204,1404,1496
Gironde,199,989,1550,2304,2925,4202,4657,5037,5576,6071,6395,7946,8544,9207
Hérault,166,477,1605,2310,2957,3322,3907,4303,4805,4880,5217,5392,5772,6246
Ille-et-Vilaine,64,262,771,1229,1488,1919,2322,2987,3201,3813,3944,3995,4282,4634
Indre,31,164,300,463,588,700,846,958,1037,1095,1169,1209,1239,1267
Indre-et-Loire,85,362,963,1199,1307,1604,1737,1827,1984,2052,2274,2388,2531,2696
Isère,162,656,1292,2367,3430,4108,4765,5265,5716,6110,6522,6992,7235,7557
Jura,48,167,336,1067,1446,1742,1749,1777,1395,1439,1524,1571,1596,1671
Landes,93,314,480,605,715,790,938,1013,1084,1119,1211,1270,1305,1341
Loir-et-Cher,58,183,328,622,725,974,1226,1338,1496,1624,1833,2010,2217,2265
Loire,25,671,1265,1718,2185,2445,2858,3021,3237,3397,3609,3795,3945,4053
Haute-Loire,52,180,362,389,580,649,689,757,959,981,1104,1644,1764,1854
Loire-Atlantique,74,595,1363,3282,3638,4389,4778,5170,5354,5689,6038,6251,7610,8344
Loiret,202,449,939,1295,1595,1786,1946,2122,2214,2406,2564,2446,2688,2833
Lot,66,426,464,606,722,911,834,846,895,967,798,733,735,707
Lot-et-Garonne,138,439,721,815,927,1041,1113,1123,1145,1200,1248,1227,1198,1298
Lozère,25,220,406,508,751,876,647,684,718,745,764,796,772,808
Maine-et-Loire,64,590,982,1149,1920,2290,2917,3258,3342,3467,3653,3761,4047,3720
Manche,47,427,633,777,1028,1243,1605,1820,1980,1650,1744,1812,1877,1971
Marne,35,183,437,866,1361,1405,1449,1561,1682,1644,1752,1694,1786,2032
Haute-Marne,33,144,239,346,478,625,680,756,836,912,876,905,919,957
Mayenne,14,92,205,475,647,795,956,1089,1306,1398,1174,1228,1554,1741
Meurthe-et-Moselle,765,654,1499,2012,2501,3165,3654,3873,4196,4349,4502,4625,4780,4883
Meuse,104,232,328,412,516,647,700,804,841,850,895,842,768,893
Morbihan,210,625,1051,1487,1907,2237,2336,2519,2665,2575,3025,3201,3267,3258
Moselle,125,741,1332,1841,2289,2089,2764,2971,3183,3361,3425,3508,3512,3642
Nièvre,7,200,415,620,790,895,996,1160,1168,1249,1298,1357,1376,1510
Nord,266,1046,2388,4240,5379,6550,7609,8404,10928,12882,13579,14530,15316,15623
Oise,355,701,1557,2005,2586,3904,3925,4320,4505,4819,4909,5026,5150,5182
Orne,31,150,235,586,635,963,1073,1117,1282,1331,1420,1394,1469,1526
Pas-de-Calais,6,409,1243,1789,2299,3029,3692,4337,5831,6984,6716,7028,7447,6542
Puy-de-Dôme,53,378,681,943,1439,1673,1725,1872,2005,2307,2362,2622,2753,2879
Pyrénées-Atlantiques,93,454,704,964,1175,1241,1377,2088,2315,2279,2274,2498,2658,2876
Hautes-Pyrénées,114,144,259,346,449,501,562,632,684,769,841,923,973,1535
Pyrénées-Orientales,73,335,560,910,1189,1426,1346,1524,1704,1749,1863,1948,2022,2275
Bas-Rhin,48,594,1023,1947,2483,2342,2659,2889,3797,4033,4472,4396,4670,4759
Haut-Rhin,152,1123,1414,1653,2106,2563,2870,3206,3580,3892,4165,4355,4593,4809
Département du Rhône,90,1465,2347,3239,4342,5501,6460,7149,7175,8018,9425,9362,9684,10320
Haute-Saône,25,210,416,588,642,652,719,741,769,844,961,1012,1015,1087
Saône-et-Loire,69,385,662,904,1207,1435,1662,2321,2541,2711,2855,3030,3197,3395
Sarthe,101,462,1010,1571,1524,1633,1955,2071,2301,2448,2500,2689,2806,2884
Savoie,69,469,806,1103,1402,1630,1735,2042,2091,2137,2177,2215,2250,2284
Haute-Savoie,113,606,1063,1733,2175,2555,2842,3080,3306,3496,3710,3966,4102,4362
Seine-Maritime,98,746,1795,2620,3153,3354,3602,3349,3556,4067,4240,4446,4472,4691
Seine-et-Marne,24,214,560,1192,1863,2364,2663,2870,3277,3558,3706,3536,4078,4492
Yvelines,53,582,1338,2152,2909,3775,3743,4222,4230,4634,4611,4530,4765,5014
Deux-Sèvres,9,308,666,972,1397,1783,1975,2234,2386,2600,2647,2295,2347,2377
Somme,159,627,738,1371,1707,1609,2017,1852,2622,2796,2840,2648,2652,2649
Tarn,23,217,520,752,986,1212,1342,1518,1527,1640,1739,1853,1751,1824
Tarn-et-Garonne,32,280,362,507,643,838,1055,1118,1185,1298,1379,1472,1546,1609
Var,44,397,834,1180,1902,2447,2941,3524,3924,4373,4922,5283,5537,5780
