,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Ain,droite,droite,gauche,gauche,gauche,gauche,gauche,gauche,gauche,droite,droite,droite,droite,droite
Aisne,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,droite,droite,droite,droite,droite
Allier,droite,droite,gauche,gauche,gauche,gauche,gauche,gauche,gauche,droite,droite,droite,droite,droite
Alpes-de-Haute-Pce,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche
Hautes-Alpes,gauche,gauche,droite,droite,droite,droite,droite,droite,droite,droite,droite,droite,droite,droite
Alpes-Maritimes,droite,droite,droite,droite,droite,droite,droite,droite,droite,droite,droite,droite,droite,droite
Ardèche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche
Ardennes,droite,droite,droite,droite,droite,droite,droite,droite,droite,droite,droite,droite,droite,droite
Ariège,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche
Aube,droite,droite,droite,droite,droite,droite,droite,droite,droite,droite,droite,droite,droite,droite
Aude,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche
Aveyron,droite,droite,droite,droite,droite,droite,droite,droite,droite,droite,droite,droite,droite,droite
Bouches-du-Rhône,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,droite,droite,droite,droite,droite
Calvados,droite,droite,droite,droite,droite,droite,droite,droite,droite,droite,droite,droite,droite,droite
Cantal,droite,droite,droite,droite,droite,droite,droite,droite,droite,droite,droite,droite,droite,droite
Charente,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,droite,droite,droite,droite,droite
Charente-Maritime,droite,droite,droite,droite,droite,droite,droite,droite,droite,droite,droite,droite,droite,droite
Cher,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,droite,droite,droite,droite,droite
Corrèze,droite,droite,gauche,gauche,gauche,gauche,gauche,gauche,gauche,droite,droite,droite,droite,droite
Côte-d'Or,droite,droite,centre,centre,centre,centre,centre,centre,centre,droite,droite,droite,droite,droite
Côtes-d'Armor,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,droite,droite,droite,droite,droite
Creuse,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,droite,droite,droite,droite,droite
Dordogne,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche
Doubs,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,droite,droite,droite,droite,droite
Drôme,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,droite,droite,droite,droite,droite
Eure,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,droite,droite,droite,droite,droite
Eure-et-Loir,droite,droite,droite,droite,droite,droite,droite,droite,droite,droite,droite,droite,droite,droite
Finistère,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche
Gard,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche
Haute-Garonne,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche
Gers,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche
Gironde,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche
Hérault,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche
Ille-et-Vilaine,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche
Indre,droite,droite,droite,droite,droite,droite,droite,droite,droite,droite,droite,droite,droite,droite
Indre-et-Loire,droite,droite,gauche,gauche,gauche,gauche,gauche,gauche,gauche,droite,droite,droite,droite,droite
Isère,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,droite,droite,droite,droite,droite
Jura,droite,droite,droite,droite,droite,gauche,gauche,gauche,gauche,droite,droite,droite,droite,droite
Landes,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche
Loir-et-Cher,droite,droite,centre,centre,centre,centre,centre,centre,centre,droite,droite,droite,droite,droite
Loire,droite,droite,droite,droite,droite,droite,droite,droite,droite,droite,droite,droite,droite,droite
Haute-Loire,gauche,gauche,droite,droite,droite,droite,droite,droite,droite,droite,droite,droite,droite,droite
Loire-Atlantique,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche,gauche
Loiret,droite,droite,droite,droite,droite,droite,droite,droite,droite,droite,droite,droite,droite,droite
